frame,landmark,x,y,z,visibility,presence
1,0,0.5046585202217102,0.06770265102386475,0.28256741166114807,0.9851041436195374,0.9999747276306152
1,1,0.5055001378059387,0.05536240339279175,0.3142983317375183,0.9843251705169678,0.9999724626541138
1,2,0.5067989826202393,0.056002676486968994,0.31426796317100525,0.9761428833007812,0.9999728202819824
1,3,0.5081798434257507,0.05672179162502289,0.3143705129623413,0.978314220905304,0.9999737739562988
1,4,0.5007320046424866,0.05120919644832611,0.2901323437690735,0.9850065112113953,0.9999711513519287
1,5,0.4988784193992615,0.04926399886608124,0.2900333106517792,0.9787697792053223,0.9999700784683228
1,6,0.4967740774154663,0.04715925455093384,0.29005345702171326,0.9813979864120483,0.9999672174453735
1,7,0.5032090544700623,0.05326679348945618,0.4135291874408722,0.965356707572937,0.9999769926071167
1,8,0.4873431622982025,0.042008042335510254,0.30643048882484436,0.9804832935333252,0.9999644756317139
1,9,0.5022375583648682,0.07872220873832703,0.31753870844841003,0.9775620102882385,0.9999631643295288
1,10,0.49768123030662537,0.07484287023544312,0.2850551903247833,0.9745672345161438,0.9999634027481079
1,11,0.4850426912307739,0.09293541312217712,0.4290560781955719,0.9996956586837769,0.9996651411056519
1,12,0.459530770778656,0.05723142623901367,0.190105140209198,0.999936580657959,0.9997604489326477
1,13,0.4983763098716736,0.15042996406555176,0.38165372610092163,0.10439258068799973,0.9994634985923767
1,14,0.49055153131484985,0.12219835817813873,0.14542558789253235,0.9718005061149597,0.9993054866790771
1,15,0.5438117384910583,0.09032304584980011,0.2928769290447235,0.3351418375968933,0.9994992017745972
1,16,0.5452584624290466,0.10303744673728943,0.2133493274450302,0.8918256163597107,0.9990928173065186
1,17,0.5498883128166199,0.07332213222980499,0.2790323495864868,0.3335370123386383,0.9993658661842346
1,18,0.567090630531311,0.1193709522485733,0.20695587992668152,0.8219879269599915,0.9986351132392883
1,19,0.5630568265914917,0.07070834934711456,0.27417823672294617,0.3284175395965576,0.9994364380836487
1,20,0.5618085861206055,0.11334474384784698,0.2145162671804428,0.7975162863731384,0.9987394213676453
1,21,0.556023895740509,0.08600622415542603,0.2855401039123535,0.35503849387168884,0.9995354413986206
1,22,0.5541520714759827,0.11366590857505798,0.2217252403497696,0.7461418509483337,0.9989472031593323
1,23,0.45323050022125244,0.3024963438510895,0.0861796885728836,0.9999151229858398,0.9998410940170288
1,24,0.42588719725608826,0.2732044458389282,-0.08565223217010498,0.9998878240585327,0.9998682737350464
1,25,0.5394496321678162,0.472904771566391,-0.10531745851039886,0.984370231628418,0.9973065853118896
1,26,0.3550034463405609,0.4665585160255432,-0.2797778248786926,0.9982675313949585,0.9987188577651978
1,27,0.5115389227867126,0.7245470285415649,-0.17090919613838196,0.9786757826805115,0.996975302696228
1,28,0.225618377327919,0.6088308691978455,-0.4085727334022522,0.9935670495033264,0.9913464188575745
1,29,0.4942587614059448,0.7590388059616089,-0.18863533437252045,0.9677740335464478,0.9966360330581665
